Date,CO,CO_percent,NO2,NO2_percent,Ozone,PM2.5,Number,AQI_Category,temp,dew_point,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all
2021-10-28,24,100.0,23.0,96.0,20.0,49.0,1.0,Good,289.945,287.9995833333333,289.99833333333333,289.175,290.6741666666667,1022.125,88.79166666666667,1.8125,203.29166666666663,2.95,,,,,49.25
2021-10-28,23,96.0,23.0,96.0,20.0,49.0,1.0,Good,289.945,287.9995833333333,289.99833333333333,289.175,290.6741666666667,1022.125,88.79166666666667,1.8125,203.29166666666663,2.95,,,,,49.25
2021-10-29,23,96.0,23.0,96.0,23.0,48.0,1.0,Good,289.8383333333333,287.98375,289.8904166666667,289.10125,290.53375,1016.0833333333334,89.16666666666667,1.4841666666666669,275.0833333333333,3.428333333333333,,,,,67.95833333333333
2021-10-29,24,100.0,23.0,96.0,23.0,48.0,1.0,Good,289.8383333333333,287.98375,289.8904166666667,289.10125,290.53375,1016.0833333333334,89.16666666666667,1.4841666666666669,275.0833333333333,3.428333333333333,,,,,67.95833333333333
2021-10-30,23,96.0,23.0,96.0,34.0,6.0,1.0,Good,289.0370833333333,287.7291666666667,289.0854166666667,288.1058333333333,289.82750000000004,1014.0,92.08333333333331,1.62375,224.04166666666663,2.878125,0.13,,,,86.83333333333333
2021-10-30,24,100.0,23.0,96.0,34.0,6.0,1.0,Good,289.0370833333333,287.7291666666667,289.0854166666667,288.1058333333333,289.82750000000004,1014.0,92.08333333333331,1.62375,224.04166666666663,2.878125,0.13,,,,86.83333333333333
2021-10-31,24,100.0,23.0,96.0,31.0,4.0,1.0,Good,287.9495833333333,285.36833333333334,287.70166666666665,287.26958333333334,288.65291666666667,1015.375,84.875,1.455,191.08333333333331,2.2666666666666666,0.25,,,,76.58333333333333
2021-10-31,23,96.0,23.0,96.0,31.0,4.0,1.0,Good,287.9495833333333,285.36833333333334,287.70166666666665,287.26958333333334,288.65291666666667,1015.375,84.875,1.455,191.08333333333331,2.2666666666666666,0.25,,,,76.58333333333333
2021-11-01,23,96.0,23.0,96.0,17.0,14.0,1.0,Good,288.9508333333333,286.515,288.82,288.30625000000003,289.58750000000003,1016.1666666666666,85.54166666666667,1.6741666666666666,154.75,2.622666666666667,0.8866666666666667,,,,99.125
2021-11-01,24,100.0,23.0,96.0,17.0,14.0,1.0,Good,288.9508333333333,286.515,288.82,288.30625000000003,289.58750000000003,1016.1666666666666,85.54166666666667,1.6741666666666666,154.75,2.622666666666667,0.8866666666666667,,,,99.125
2021-11-02,23,96.0,23.0,96.0,20.0,28.0,1.0,Good,289.30958333333336,287.7375,289.34791666666666,288.69083333333333,289.90708333333333,1021.375,90.66666666666669,1.4508333333333334,122.54166666666669,2.55,0.184,,,,96.08333333333331
2021-11-02,24,100.0,23.0,96.0,20.0,28.0,1.0,Good,289.30958333333336,287.7375,289.34791666666666,288.69083333333333,289.90708333333333,1021.375,90.66666666666669,1.4508333333333334,122.54166666666669,2.55,0.184,,,,96.08333333333331
2021-11-03,23,96.0,23.0,96.0,25.0,36.0,1.0,Good,288.9158333333333,286.87708333333336,288.8491666666667,288.20375,289.59541666666667,1021.4583333333334,88.08333333333333,1.16375,221.04166666666663,1.675,,,,,62.958333333333336
2021-11-03,24,100.0,23.0,96.0,25.0,36.0,1.0,Good,288.9158333333333,286.87708333333336,288.8491666666667,288.20375,289.59541666666667,1021.4583333333334,88.08333333333333,1.16375,221.04166666666663,1.675,,,,,62.958333333333336
2021-11-04,23,96.0,23.0,96.0,31.0,37.0,1.0,Good,290.44916666666666,287.87291666666664,290.4575,289.89875,291.055,1019.8333333333334,85.125,1.461666666666667,243.375,3.024117647058824,1.218,,,,58.375
2021-11-04,24,100.0,23.0,96.0,31.0,37.0,1.0,Good,290.44916666666666,287.87291666666664,290.4575,289.89875,291.055,1019.8333333333334,85.125,1.461666666666667,243.375,3.024117647058824,1.218,,,,58.375
2021-11-05,24,100.0,23.0,96.0,29.0,35.0,1.0,Good,286.97791666666666,284.27958333333333,286.61083333333335,285.8966666666667,287.8795833333333,1019.625,84.04166666666667,2.64625,283.5,2.535,,,,,54.25
2021-11-05,23,96.0,23.0,96.0,29.0,35.0,1.0,Good,286.97791666666666,284.27958333333333,286.61083333333335,285.8966666666667,287.8795833333333,1019.625,84.04166666666667,2.64625,283.5,2.535,,,,,54.25
