dt,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id
2023-02-06,-28800.0,37.774929,-122.419415,282.7629166666667,,279.09208333333333,281.62875,281.86708333333337,283.53458333333333,1028.0416666666667,,,78.66666666666667,2.1350000000000002,315.0,2.7464285714285714,0.11,,,,2.75,787.5416666666666
2023-02-07,-28800.0,37.774929,-122.419415,282.96,,279.82708333333335,282.17833333333334,281.7033333333333,283.87333333333333,1027.625,,,81.91666666666667,1.8029166666666665,264.0,3.1300000000000003,,,,,58.083333333333336,802.4166666666666
2023-02-08,-28800.0,37.774929,-122.419415,282.72625,,280.2058333333334,282.19374999999997,281.68833333333333,283.7658333333333,1027.9166666666667,,,85.58333333333333,1.5404166666666665,193.875,2.7583333333333333,,,,,51.958333333333336,802.1666666666666
2023-02-09,-28800.0,37.774929,-122.419415,283.9195833333333,,281.3279166666667,283.17833333333334,283.0854166666667,284.69958333333335,1025.875,,,85.20833333333333,1.765,157.45833333333334,2.596,,,,,39.0,801.625
2023-02-10,-28800.0,37.774929,-122.419415,283.83,,280.97208333333333,282.94958333333335,282.78916666666663,284.69,1023.625,,,82.95833333333333,1.655,290.5416666666667,3.353333333333333,0.25,,,,37.708333333333336,789.0416666666666
2023-02-11,-28800.0,37.774929,-122.419415,282.90916666666664,,279.94458333333336,282.36583333333334,282.26500000000004,283.52916666666664,1016.875,,,82.16666666666667,1.26,191.08333333333334,3.3219047619047624,0.41416666666666674,,,,65.25,651.5416666666666
2023-02-12,-28800.0,37.774929,-122.419415,283.59250000000003,,280.4995833333333,282.8925,282.57041666666663,284.47666666666663,1015.1666666666666,,,81.95833333333333,1.5250000000000001,247.70833333333334,2.4833333333333334,,,,,35.458333333333336,801.5833333333334
2023-02-13,-28800.0,37.774929,-122.419415,284.0079166666667,,281.6345833333333,282.9975,282.78625,285.1095833333333,1012.6666666666666,,,85.875,2.4520833333333334,266.5416666666667,3.7744444444444443,0.25,,,,18.166666666666668,788.1666666666666
2023-02-14,-28800.0,37.774929,-122.419415,282.74625,,275.90458333333333,281.5783333333333,281.85375,283.5995833333333,1016.6666666666666,,,62.791666666666664,2.8266666666666667,301.9583333333333,5.130952380952381,0.19333333333333333,,,,28.833333333333332,763.4583333333334
2023-02-15,-28800.0,37.774929,-122.419415,281.76208333333335,,273.0441666666666,280.08125,280.86791666666664,282.6204166666667,1021.4583333333334,,,55.625,2.3033333333333332,209.66666666666666,3.767857142857143,,,,,1.25,800.0416666666666
2023-02-16,-28800.0,37.774929,-122.419415,281.1454166666667,,275.48,279.7866666666667,279.79291666666666,282.22375,1024.5,,,70.04166666666667,1.6566666666666665,182.66666666666666,2.682857142857143,,,,,60.708333333333336,802.5
2023-02-17,-28800.0,37.774929,-122.419415,282.69,,275.46999999999997,281.3075,281.75166666666667,283.58375,1020.9583333333334,,,62.625,2.07,114.08333333333333,2.83,,,,,86.91666666666667,803.6666666666666
2023-02-18,-28800.0,37.774929,-122.419415,282.81916666666666,,277.1308333333333,282.19041666666664,281.71458333333334,283.77125,1018.5416666666666,,,69.79166666666667,1.1945833333333333,206.70833333333334,2.5333333333333337,,,,,16.041666666666668,800.7083333333334
2023-02-19,-28800.0,37.774929,-122.419415,283.80333333333334,,278.3120833333333,283.1870833333333,282.92083333333335,284.825,1018.75,,,70.45833333333333,1.2333333333333332,181.45833333333334,2.5333333333333337,,,,,59.458333333333336,802.625
2023-02-20,-28800.0,37.774929,-122.419415,284.46791666666667,,280.90833333333336,283.83708333333334,283.71458333333334,285.34,1020.0416666666666,,,80.29166666666667,1.2066666666666668,160.25,2.7471428571428573,,,,,53.416666666666664,802.2916666666666
2023-02-21,-28800.0,37.774929,-122.419415,285.03249999999997,,281.28125,284.385,284.105,285.87333333333333,1014.2083333333334,,,78.75,2.3420833333333335,274.5,5.335999999999999,,,,,55.791666666666664,802.5
2023-02-22,-28800.0,37.774929,-122.419415,281.07041666666663,,275.3475,280.065,280.2975,281.6479166666667,1008.7083333333334,,,67.16666666666667,3.08625,293.5,5.236666666666666,0.13,,,,37.291666666666664,788.9583333333334
2023-02-23,-28800.0,37.774929,-122.419415,279.69125,,275.4379166666667,278.69958333333335,278.87375000000003,280.3341666666667,1010.5416666666666,,,74.625,1.8,237.91666666666666,3.8,0.3566666666666667,,,,51.041666666666664,764.625
2023-02-24,-28800.0,37.774929,-122.419415,280.41249999999997,,277.65541666666667,279.8129166666667,279.73375,281.0891666666667,1005.0833333333334,,,83.25,1.3654166666666667,168.375,3.9060869565217393,2.133809523809524,,,,85.5,538.25
2023-02-25,-28800.0,37.774929,-122.419415,279.87375000000003,,276.44,279.255,279.3645833333333,280.37,1010.625,,,78.83333333333333,1.3191666666666666,132.625,2.802,0.166,,,,66.0,739.75
2023-02-26,-28800.0,37.774929,-122.419415,282.01208333333335,,279.15541666666667,281.3775,281.50624999999997,282.55041666666665,1015.2083333333334,,,82.33333333333333,1.5958333333333334,209.875,3.3015384615384615,0.86,,,,79.0,727.4166666666666
2023-02-27,-28800.0,37.774929,-122.419415,280.9591666666667,,278.3845833333333,279.67625000000004,280.1775,281.72041666666667,1014.9583333333334,,,83.83333333333333,2.4604166666666667,228.91666666666666,3.4866666666666664,1.791818181818182,,,,65.54166666666667,664.0833333333334
2023-02-28,-28800.0,37.774929,-122.419415,281.72208333333333,,279.13124999999997,280.93333333333334,280.9975,282.5216666666667,1013.75,,,84.0,1.6870833333333335,222.20833333333334,3.6016666666666666,1.14,,,,78.95833333333333,601.1666666666666
2023-03-01,-28800.0,37.774929,-122.419415,280.82458333333335,,275.7504166666667,280.12666666666667,280.21208333333334,281.32625,1010.375,,,72.29166666666667,1.430416666666667,287.4166666666667,3.5182608695652173,0.48375,,,,40.458333333333336,700.6666666666666
2023-03-02,-28800.0,37.774929,-122.419415,281.74583333333334,,276.82916666666665,279.73541666666665,280.83666666666664,282.6154166666667,1019.4583333333334,,,72.125,3.817083333333333,312.375,3.28,,,,,43.25,801.875
2023-03-03,-28800.0,37.774929,-122.419415,283.0266666666667,,279.58166666666665,281.64833333333337,282.21250000000003,283.8125,1019.2916666666666,,,79.75,2.4370833333333333,268.0,3.29,,,,,44.75,802.0416666666666
2023-03-04,-28800.0,37.774929,-122.419415,282.53875,,278.66,281.89208333333335,281.94416666666666,283.2104166666667,1013.375,,,76.83333333333333,1.4749999999999999,251.29166666666666,4.172857142857143,1.3949999999999998,,,,83.58333333333333,727.8333333333334
2023-03-05,-28800.0,37.774929,-122.419415,282.19958333333335,,277.8833333333333,281.60291666666666,281.5883333333333,282.85333333333335,1012.9166666666666,,,74.875,1.4879166666666668,229.95833333333334,3.6368181818181813,1.1860000000000002,,,,50.708333333333336,676.2916666666666
2023-03-06,-28800.0,37.774929,-122.419415,281.21541666666667,,277.67791666666665,280.33125,280.44166666666666,281.84999999999997,1019.75,,,78.83333333333333,1.9320833333333336,197.08333333333334,2.270769230769231,0.37153846153846154,,,,45.958333333333336,638.4583333333334
2023-03-07,-28800.0,37.774929,-122.419415,281.83375,,278.22208333333333,280.8495833333333,281.1875,282.4633333333333,1022.0416666666666,,,78.95833333333333,1.7045833333333336,215.375,3.086,0.3423076923076923,,,,53.583333333333336,638.8333333333334
2023-03-08,-28800.0,37.774929,-122.419415,282.5004166666667,,278.04583333333335,281.33,281.87833333333333,283.19166666666666,1020.625,,,74.54166666666667,1.9704166666666667,233.95833333333334,3.313529411764706,1.3614285714285714,,,,43.958333333333336,713.7916666666666
2023-03-09,-28800.0,37.774929,-122.419415,281.86791666666664,,278.3433333333333,281.04625,281.13375,282.4429166666667,1018.4583333333334,,,79.08333333333333,1.3916666666666666,172.0,2.739375,1.32,,,,72.375,727.0833333333334
2023-03-10,-28800.0,37.774929,-122.419415,284.85083333333336,,282.82416666666666,284.35791666666665,284.2033333333333,285.47541666666666,1008.125,,,87.91666666666667,1.9400000000000002,187.29166666666666,4.6623809523809525,1.9375,,,,95.33333333333333,601.7916666666666
2023-03-11,-28800.0,37.774929,-122.419415,284.2754166666667,,281.93333333333334,283.95958333333334,283.6825,284.8391666666667,1013.7083333333334,,,85.66666666666667,1.4087500000000002,196.45833333333334,2.458,0.32999999999999996,,,,72.83333333333333,739.9166666666666
2023-03-12,-26700.0,37.774929,-122.419415,286.3695833333333,,285.1558333333333,286.15958333333333,285.56666666666666,287.0104166666667,1016.9583333333334,,,92.375,1.5745833333333332,177.66666666666666,2.907,0.4455,,,,95.75,550.6666666666666
2023-03-13,-25200.0,37.774929,-122.419415,287.19708333333335,,285.76458333333335,287.0408333333333,286.35166666666663,287.72291666666666,1018.2083333333334,,,91.20833333333333,2.525,179.95833333333334,2.802,0.3552941176470588,,,,96.25,588.625
2023-03-14,-25200.0,37.774929,-122.419415,288.0175,,286.41333333333336,287.91541666666666,287.38375,288.5883333333333,1008.8333333333334,,,90.20833333333333,2.339583333333333,163.5,5.088095238095238,1.3340909090909092,,,,99.95833333333333,525.7083333333334
2023-03-15,-25200.0,37.774929,-122.419415,283.3575,,280.0095833333333,281.80833333333334,282.63458333333335,284.00624999999997,1013.8333333333334,,,80.04166666666667,4.0441666666666665,306.7083333333333,4.8075,0.51,,,,37.666666666666664,789.125
2023-03-16,-25200.0,37.774929,-122.419415,283.7975,,281.1645833333333,283.1075,282.9245833333334,284.7233333333333,1017.625,,,84.20833333333333,2.53375,271.0,,,,,,30.875,801.2916666666666
2023-03-17,-25200.0,37.774929,-122.419415,284.34125,,281.4845833333333,283.75624999999997,283.5541666666667,285.1658333333333,1018.5,,,83.16666666666667,2.0791666666666666,260.75,1.79,,,,,45.041666666666664,801.9166666666666
2023-03-18,-25200.0,37.774929,-122.419415,285.9825,,283.07708333333335,285.35791666666665,285.265,286.6670833333333,1017.0416666666666,,,83.29166666666667,1.93875,179.95833333333334,2.2359999999999998,,,,,65.20833333333333,802.75
2023-03-19,-25200.0,37.774929,-122.419415,286.55125,,284.0520833333333,286.18125000000003,285.93375,287.14500000000004,1010.4166666666666,,,85.58333333333333,1.6758333333333333,206.91666666666666,2.410555555555556,1.5746666666666667,,,,99.91666666666667,614.5833333333334
2023-03-20,-25200.0,37.774929,-122.419415,284.62208333333336,,281.6670833333333,283.9316666666667,283.91791666666666,285.26958333333334,1012.875,,,83.08333333333333,1.5345833333333332,272.0,3.491428571428571,0.528,,,,68.45833333333333,739.6666666666666
2023-03-21,-25200.0,37.774929,-122.419415,283.0579166666667,,279.21666666666664,282.43,282.5704166666667,283.6404166666667,1000.25,,,77.41666666666667,2.6041666666666665,140.0,3.13,1.4438461538461538,,,,90.875,639.4166666666666
2023-03-22,-25200.0,37.774929,-122.419415,283.71208333333334,,281.52500000000003,283.34041666666667,283.27708333333334,284.25375,1003.5416666666666,,,86.83333333333333,1.6329166666666666,148.5,4.47,1.4236842105263159,,,,94.125,563.75
2023-03-23,-25200.0,37.774929,-122.419415,284.85083333333336,,281.10833333333335,284.2545833333333,284.27208333333334,285.40500000000003,1021.4583333333334,,,78.16666666666667,1.21,277.75,4.042916666666667,0.6950000000000001,,,,33.583333333333336,776.6666666666666
2023-03-24,-25200.0,37.774929,-122.419415,283.4641666666667,,277.27,282.71375,282.75,284.1504166666667,1028.9166666666667,,,66.16666666666667,1.4341666666666668,287.0416666666667,4.600416666666667,0.1,,,,38.583333333333336,789.2083333333334
2023-03-25,-25200.0,37.774929,-122.419415,282.81458333333336,,276.31041666666664,281.34625,281.97125,283.6020833333333,1027.6666666666667,,,64.66666666666667,2.8808333333333334,298.3333333333333,4.285294117647059,,,,,11.5,800.5833333333334
2023-03-26,-25200.0,37.774929,-122.419415,282.58250000000004,,274.96999999999997,281.40208333333334,281.74125,283.37125,1025.0416666666667,,,59.958333333333336,2.1808333333333336,279.0833333333333,3.8009999999999997,,,,,5.833333333333333,800.2916666666666
2023-03-27,-25200.0,37.774929,-122.419415,282.52125,,277.01458333333335,281.6920833333333,281.67291666666665,283.36291666666665,1023.8333333333334,,,69.875,1.6858333333333333,236.16666666666666,3.6325000000000003,,,,,8.375,800.375
2023-03-28,-25200.0,37.774929,-122.419415,284.00208333333336,,278.9125,283.115,283.5266666666667,284.5625,1015.8333333333334,,,71.95833333333333,2.279166666666667,189.375,3.442,1.2507692307692309,,,,85.16666666666667,639.25
2023-03-29,-25200.0,37.774929,-122.419415,282.56,,280.2654166666667,282.0179166666667,281.9954166666667,283.1308333333333,1009.9583333333334,,,85.625,1.4045833333333333,166.83333333333334,2.527,1.172608695652174,,,,64.91666666666667,513.0416666666666
2023-03-30,-25200.0,37.774929,-122.419415,282.32,,279.22541666666666,281.92041666666665,281.57750000000004,282.97791666666666,1012.75,,,81.45833333333333,1.1808333333333334,201.70833333333334,2.893529411764706,0.39,,,,49.208333333333336,777.0833333333334
2023-03-31,-25200.0,37.774929,-122.419415,283.4270833333333,,279.355,282.5083333333333,282.60125,284.1720833333333,1021.7916666666666,,,76.54166666666667,1.9329166666666666,217.25,4.1129999999999995,,,,,33.333333333333336,801.625
