date_local,CO,CO_percent,NO2,NO2_percent
2015-05-19,23.0,96.0,23.0,96.0
2015-05-20,21.0,88.0,21.0,88.0
2015-05-21,23.0,96.0,23.0,96.0
2015-05-22,23.0,96.0,23.0,96.0
2015-05-23,24.0,100.0,23.0,96.0
2015-05-24,23.0,96.0,23.0,96.0
2015-05-25,24.0,100.0,23.0,96.0
2015-05-26,24.0,100.0,23.0,96.0
2015-05-27,23.0,96.0,23.0,96.0
2015-05-28,23.0,96.0,23.0,96.0
2015-05-29,21.0,88.0,21.0,88.0
2015-05-30,24.0,100.0,23.0,96.0
2015-05-31,24.0,100.0,23.0,96.0
2015-06-01,23.0,96.0,23.0,96.0
2015-06-02,24.0,100.0,23.0,96.0
2015-06-03,15.0,63.0,18.0,75.0
2015-06-04,23.0,96.0,23.0,96.0
2015-06-05,23.0,96.0,23.0,96.0
2015-06-06,23.0,96.0,23.0,96.0
2015-06-07,24.0,100.0,23.0,96.0
2015-06-08,24.0,100.0,23.0,96.0
2015-06-09,14.0,58.0,17.0,71.0
2015-06-10,24.0,100.0,23.0,96.0
2015-06-11,24.0,100.0,23.0,96.0
2015-06-12,23.0,96.0,23.0,96.0
2015-06-13,24.0,100.0,23.0,96.0
2015-06-14,23.0,96.0,23.0,96.0
2015-06-15,24.0,100.0,23.0,96.0
2015-06-16,24.0,100.0,23.0,96.0
2015-06-17,24.0,100.0,23.0,96.0
2015-06-18,24.0,100.0,23.0,96.0
2015-06-19,23.0,96.0,23.0,96.0
2015-06-20,24.0,100.0,23.0,96.0
2015-06-21,24.0,100.0,23.0,96.0
2015-06-22,24.0,100.0,23.0,96.0
2015-06-23,24.0,100.0,23.0,96.0
2015-06-24,24.0,100.0,23.0,96.0
2015-06-25,24.0,100.0,23.0,96.0
2015-06-26,24.0,100.0,23.0,96.0
2015-06-27,24.0,100.0,23.0,96.0
2015-06-28,24.0,100.0,23.0,96.0
2015-06-29,24.0,100.0,23.0,96.0
2015-06-30,24.0,100.0,23.0,96.0
2015-07-01,24.0,100.0,23.0,96.0
2015-07-02,24.0,100.0,23.0,96.0
2015-07-03,24.0,100.0,23.0,96.0
2015-07-04,24.0,100.0,23.0,96.0
2015-07-05,24.0,100.0,23.0,96.0
2015-07-06,24.0,100.0,23.0,96.0
2015-07-07,24.0,100.0,23.0,96.0
2015-07-08,22.0,92.0,22.0,92.0
2015-07-09,24.0,100.0,23.0,96.0
2015-07-10,23.0,96.0,23.0,96.0
2015-07-11,24.0,100.0,23.0,96.0
2015-07-12,23.0,96.0,23.0,96.0
2015-07-13,23.0,96.0,23.0,96.0
2015-07-14,23.0,96.0,23.0,96.0
2015-07-15,23.0,96.0,23.0,96.0
2015-07-16,24.0,100.0,23.0,96.0
2015-07-17,23.0,96.0,23.0,96.0
2015-07-18,24.0,100.0,23.0,96.0
2015-07-19,23.0,96.0,23.0,96.0
2015-07-20,23.0,96.0,23.0,96.0
2015-07-21,23.0,96.0,23.0,96.0
2015-07-22,23.0,96.0,23.0,96.0
2015-07-23,23.0,96.0,23.0,96.0
2015-07-24,24.0,100.0,23.0,96.0
2015-07-25,24.0,100.0,23.0,96.0
2015-07-26,23.0,96.0,23.0,96.0
2015-07-27,24.0,100.0,23.0,96.0
2015-07-28,23.0,96.0,23.0,96.0
2015-07-29,23.0,96.0,23.0,96.0
2015-07-30,24.0,100.0,23.0,96.0
2015-07-31,24.0,100.0,23.0,96.0
2015-08-01,24.0,100.0,23.0,96.0
2015-08-02,24.0,100.0,23.0,96.0
2015-08-03,24.0,100.0,23.0,96.0
2015-08-04,24.0,100.0,23.0,96.0
2015-08-05,23.0,96.0,23.0,96.0
2015-08-06,24.0,100.0,23.0,96.0
2015-08-07,24.0,100.0,23.0,96.0
2015-08-08,24.0,100.0,23.0,96.0
2015-08-09,23.0,96.0,23.0,96.0
2015-08-10,23.0,96.0,23.0,96.0
2015-08-11,24.0,100.0,23.0,96.0
2015-08-12,24.0,100.0,23.0,96.0
2015-08-13,24.0,100.0,23.0,96.0
2015-08-14,23.0,96.0,23.0,96.0
2015-08-15,23.0,96.0,23.0,96.0
2015-08-16,23.0,96.0,23.0,96.0
2015-08-17,23.0,96.0,23.0,96.0
2015-08-18,23.0,96.0,23.0,96.0
2015-08-19,23.0,96.0,23.0,96.0
2015-08-20,24.0,100.0,22.0,92.0
2015-08-21,23.0,96.0,23.0,96.0
2015-08-22,24.0,100.0,23.0,96.0
2015-08-23,23.0,96.0,23.0,96.0
2015-08-24,23.0,96.0,23.0,96.0
2015-08-25,24.0,100.0,23.0,96.0
2015-08-26,23.0,96.0,23.0,96.0
2015-08-27,24.0,100.0,23.0,96.0
2015-08-28,23.0,96.0,23.0,96.0
2015-08-29,23.0,96.0,23.0,96.0
2015-08-30,23.0,96.0,23.0,96.0
2015-08-31,24.0,100.0,23.0,96.0
2015-09-01,16.0,67.0,19.0,79.0
2015-09-02,24.0,100.0,23.0,96.0
2015-09-03,22.0,92.0,22.0,92.0
2015-09-04,24.0,100.0,23.0,96.0
2015-09-05,23.0,96.0,23.0,96.0
2015-09-06,24.0,100.0,23.0,96.0
2015-09-07,24.0,100.0,23.0,96.0
2015-09-08,24.0,100.0,23.0,96.0
2015-09-09,23.0,96.0,23.0,96.0
2015-09-10,23.0,96.0,23.0,96.0
2015-09-11,23.0,96.0,23.0,96.0
2015-09-12,23.0,96.0,23.0,96.0
2015-09-13,24.0,100.0,23.0,96.0
2015-09-14,24.0,100.0,22.0,92.0
2015-09-15,23.0,96.0,23.0,96.0
2015-09-16,24.0,100.0,23.0,96.0
2015-09-17,23.0,96.0,23.0,96.0
2015-09-18,23.0,96.0,23.0,96.0
2015-09-19,23.0,96.0,23.0,96.0
2015-09-20,23.0,96.0,23.0,96.0
2015-09-21,24.0,100.0,23.0,96.0
2015-09-22,24.0,100.0,23.0,96.0
2015-09-23,23.0,96.0,23.0,96.0
2015-09-24,24.0,100.0,22.0,92.0
2015-09-25,23.0,96.0,23.0,96.0
2015-09-26,23.0,96.0,23.0,96.0
2015-09-27,23.0,96.0,23.0,96.0
2015-09-28,23.0,96.0,23.0,96.0
2015-09-29,23.0,96.0,23.0,96.0
2015-09-30,23.0,96.0,23.0,96.0
2015-10-01,24.0,100.0,23.0,96.0
2015-10-02,24.0,100.0,23.0,96.0
2015-10-03,24.0,100.0,23.0,96.0
2015-10-04,23.0,96.0,23.0,96.0
2015-10-05,24.0,100.0,23.0,96.0
2015-10-06,23.0,96.0,23.0,96.0
2015-10-07,22.0,92.0,22.0,92.0
2015-10-08,23.0,96.0,22.0,92.0
2015-10-09,24.0,100.0,23.0,96.0
2015-10-10,23.0,96.0,23.0,96.0
2015-10-11,24.0,100.0,23.0,96.0
2015-10-12,23.0,96.0,22.0,92.0
2015-10-13,24.0,100.0,23.0,96.0
2015-10-14,24.0,100.0,23.0,96.0
2015-10-15,23.0,96.0,23.0,96.0
2015-10-16,23.0,96.0,23.0,96.0
2015-10-17,24.0,100.0,23.0,96.0
2015-10-18,23.0,96.0,23.0,96.0
2015-10-19,24.0,100.0,23.0,96.0
2015-10-20,24.0,100.0,23.0,96.0
2015-10-21,23.0,96.0,23.0,96.0
2015-10-22,23.0,96.0,23.0,96.0
2015-10-23,24.0,100.0,23.0,96.0
2015-10-24,23.0,96.0,23.0,96.0
2015-10-25,24.0,100.0,23.0,96.0
2015-10-26,24.0,100.0,22.0,92.0
2015-10-27,24.0,100.0,23.0,96.0
2015-10-28,24.0,100.0,23.0,96.0
2015-10-29,24.0,100.0,23.0,96.0
2015-10-30,24.0,100.0,22.0,92.0
2015-10-31,24.0,100.0,23.0,96.0
2015-11-01,23.0,96.0,23.0,96.0
2015-11-02,24.0,100.0,23.0,96.0
2015-11-03,23.0,96.0,23.0,96.0
2015-11-04,23.0,96.0,23.0,96.0
2015-11-05,23.0,96.0,23.0,96.0
2015-11-06,24.0,100.0,23.0,96.0
2015-11-07,23.0,96.0,23.0,96.0
2015-11-08,24.0,100.0,23.0,96.0
2015-11-09,23.0,96.0,23.0,96.0
2015-11-10,24.0,100.0,23.0,96.0
