DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2018-01-01,0,PST,San Francisco,CA,37.75,-122.43,OZONE,13,"{'Number': 1, 'Name': 'Good'}"
2018-01-01,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,75,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-02,0,PST,San Francisco,CA,37.75,-122.43,OZONE,8,"{'Number': 1, 'Name': 'Good'}"
2018-01-02,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,84,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-03,0,PST,San Francisco,CA,37.75,-122.43,OZONE,5,"{'Number': 1, 'Name': 'Good'}"
2018-01-03,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,111,"{'Number': 3, 'Name': 'Unhealthy for Sensitive Groups'}"
2018-01-04,0,PST,San Francisco,CA,37.75,-122.43,OZONE,17,"{'Number': 1, 'Name': 'Good'}"
2018-01-04,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,63,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-05,0,PST,San Francisco,CA,37.75,-122.43,OZONE,25,"{'Number': 1, 'Name': 'Good'}"
2018-01-05,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,29,"{'Number': 1, 'Name': 'Good'}"
2018-01-06,0,PST,San Francisco,CA,37.75,-122.43,OZONE,23,"{'Number': 1, 'Name': 'Good'}"
2018-01-06,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,45,"{'Number': 1, 'Name': 'Good'}"
2018-01-07,0,PST,San Francisco,CA,37.75,-122.43,OZONE,7,"{'Number': 1, 'Name': 'Good'}"
2018-01-07,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,58,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-08,0,PST,San Francisco,CA,37.75,-122.43,OZONE,3,"{'Number': 1, 'Name': 'Good'}"
2018-01-08,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,50,"{'Number': 1, 'Name': 'Good'}"
2018-01-09,0,PST,San Francisco,CA,37.75,-122.43,OZONE,27,"{'Number': 1, 'Name': 'Good'}"
2018-01-09,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,24,"{'Number': 1, 'Name': 'Good'}"
2018-01-10,0,PST,San Francisco,CA,37.75,-122.43,OZONE,22,"{'Number': 1, 'Name': 'Good'}"
2018-01-10,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,43,"{'Number': 1, 'Name': 'Good'}"
2018-01-11,0,PST,San Francisco,CA,37.75,-122.43,OZONE,14,"{'Number': 1, 'Name': 'Good'}"
2018-01-11,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,61,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-12,0,PST,San Francisco,CA,37.75,-122.43,OZONE,13,"{'Number': 1, 'Name': 'Good'}"
2018-01-12,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,59,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-13,0,PST,San Francisco,CA,37.75,-122.43,OZONE,16,"{'Number': 1, 'Name': 'Good'}"
2018-01-13,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,61,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-14,0,PST,San Francisco,CA,37.75,-122.43,OZONE,11,"{'Number': 1, 'Name': 'Good'}"
2018-01-14,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,75,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-15,0,PST,San Francisco,CA,37.75,-122.43,OZONE,13,"{'Number': 1, 'Name': 'Good'}"
2018-01-15,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,82,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-16,0,PST,San Francisco,CA,37.75,-122.43,OZONE,6,"{'Number': 1, 'Name': 'Good'}"
2018-01-16,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,72,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-17,0,PST,San Francisco,CA,37.75,-122.43,OZONE,10,"{'Number': 1, 'Name': 'Good'}"
2018-01-17,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,79,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-18,0,PST,San Francisco,CA,37.75,-122.43,OZONE,30,"{'Number': 1, 'Name': 'Good'}"
2018-01-18,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,71,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-19,0,PST,San Francisco,CA,37.75,-122.43,OZONE,28,"{'Number': 1, 'Name': 'Good'}"
2018-01-19,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,42,"{'Number': 1, 'Name': 'Good'}"
2018-01-20,0,PST,San Francisco,CA,37.75,-122.43,OZONE,25,"{'Number': 1, 'Name': 'Good'}"
2018-01-20,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,51,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-21,0,PST,San Francisco,CA,37.75,-122.43,OZONE,28,"{'Number': 1, 'Name': 'Good'}"
2018-01-21,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,54,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-22,0,PST,San Francisco,CA,37.75,-122.43,OZONE,29,"{'Number': 1, 'Name': 'Good'}"
2018-01-22,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,25,"{'Number': 1, 'Name': 'Good'}"
2018-01-23,0,PST,San Francisco,CA,37.75,-122.43,OZONE,19,"{'Number': 1, 'Name': 'Good'}"
2018-01-23,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,53,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-24,0,PST,San Francisco,CA,37.75,-122.43,OZONE,31,"{'Number': 1, 'Name': 'Good'}"
2018-01-24,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,52,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-25,0,PST,San Francisco,CA,37.75,-122.43,OZONE,31,"{'Number': 1, 'Name': 'Good'}"
2018-01-25,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,44,"{'Number': 1, 'Name': 'Good'}"
2018-01-26,0,PST,San Francisco,CA,37.75,-122.43,OZONE,25,"{'Number': 1, 'Name': 'Good'}"
2018-01-26,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,52,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-27,0,PST,San Francisco,CA,37.75,-122.43,OZONE,23,"{'Number': 1, 'Name': 'Good'}"
2018-01-27,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,41,"{'Number': 1, 'Name': 'Good'}"
2018-01-28,0,PST,San Francisco,CA,37.75,-122.43,OZONE,19,"{'Number': 1, 'Name': 'Good'}"
2018-01-28,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,28,"{'Number': 1, 'Name': 'Good'}"
2018-01-29,0,PST,San Francisco,CA,37.75,-122.43,OZONE,12,"{'Number': 1, 'Name': 'Good'}"
2018-01-29,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,66,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-30,0,PST,San Francisco,CA,37.75,-122.43,OZONE,13,"{'Number': 1, 'Name': 'Good'}"
2018-01-30,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,58,"{'Number': 2, 'Name': 'Moderate'}"
2018-01-31,0,PST,San Francisco,CA,37.75,-122.43,OZONE,11,"{'Number': 1, 'Name': 'Good'}"
2018-01-31,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,66,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-01,0,PST,San Francisco,CA,37.75,-122.43,OZONE,16,"{'Number': 1, 'Name': 'Good'}"
2018-02-01,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,60,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-02,0,PST,San Francisco,CA,37.75,-122.43,OZONE,13,"{'Number': 1, 'Name': 'Good'}"
2018-02-02,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,58,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-03,0,PST,San Francisco,CA,37.75,-122.43,OZONE,25,"{'Number': 1, 'Name': 'Good'}"
2018-02-03,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,57,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-04,0,PST,San Francisco,CA,37.75,-122.43,OZONE,19,"{'Number': 1, 'Name': 'Good'}"
2018-02-04,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,55,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-05,0,PST,San Francisco,CA,37.75,-122.43,OZONE,13,"{'Number': 1, 'Name': 'Good'}"
2018-02-05,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,64,"{'Number': 2, 'Name': 'Moderate'}"
2018-02-06,0,PST,San Francisco,CA,37.75,-122.43,OZONE,31,"{'Number': 1, 'Name': 'Good'}"
2018-02-06,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,42,"{'Number': 1, 'Name': 'Good'}"
2018-02-07,0,PST,San Francisco,CA,37.75,-122.43,OZONE,28,"{'Number': 1, 'Name': 'Good'}"
2018-02-07,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,63,"{'Number': 2, 'Name': 'Moderate'}"
