DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,Category
2017-01-01,0,PST,San Francisco,CA,37.75,-122.43,OZONE,35,"{'Number': 1, 'Name': 'Good'}"
2017-01-01,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,37,"{'Number': 1, 'Name': 'Good'}"
2017-01-02,0,PST,San Francisco,CA,37.75,-122.43,OZONE,35,"{'Number': 1, 'Name': 'Good'}"
2017-01-02,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,22,"{'Number': 1, 'Name': 'Good'}"
2017-01-03,0,PST,San Francisco,CA,37.75,-122.43,OZONE,32,"{'Number': 1, 'Name': 'Good'}"
2017-01-03,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,12,"{'Number': 1, 'Name': 'Good'}"
2017-01-04,0,PST,San Francisco,CA,37.75,-122.43,OZONE,24,"{'Number': 1, 'Name': 'Good'}"
2017-01-04,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,6,"{'Number': 1, 'Name': 'Good'}"
2017-01-05,0,PST,San Francisco,CA,37.75,-122.43,OZONE,26,"{'Number': 1, 'Name': 'Good'}"
2017-01-05,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2017-01-06,0,PST,San Francisco,CA,37.75,-122.43,OZONE,25,"{'Number': 1, 'Name': 'Good'}"
2017-01-06,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,30,"{'Number': 1, 'Name': 'Good'}"
2017-01-07,0,PST,San Francisco,CA,37.75,-122.43,OZONE,28,"{'Number': 1, 'Name': 'Good'}"
2017-01-07,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,21,"{'Number': 1, 'Name': 'Good'}"
2017-01-08,0,PST,San Francisco,CA,37.75,-122.43,OZONE,33,"{'Number': 1, 'Name': 'Good'}"
2017-01-09,0,PST,San Francisco,CA,37.75,-122.43,OZONE,39,"{'Number': 1, 'Name': 'Good'}"
2017-01-09,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,3,"{'Number': 1, 'Name': 'Good'}"
2017-01-10,0,PST,San Francisco,CA,37.75,-122.43,OZONE,40,"{'Number': 1, 'Name': 'Good'}"
2017-01-10,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,9,"{'Number': 1, 'Name': 'Good'}"
2017-01-11,0,PST,San Francisco,CA,37.75,-122.43,OZONE,35,"{'Number': 1, 'Name': 'Good'}"
2017-01-11,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,18,"{'Number': 1, 'Name': 'Good'}"
2017-01-12,0,PST,San Francisco,CA,37.75,-122.43,OZONE,27,"{'Number': 1, 'Name': 'Good'}"
2017-01-12,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,22,"{'Number': 1, 'Name': 'Good'}"
2017-01-13,0,PST,San Francisco,CA,37.75,-122.43,OZONE,17,"{'Number': 1, 'Name': 'Good'}"
2017-01-13,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,52,"{'Number': 2, 'Name': 'Moderate'}"
2017-01-14,0,PST,San Francisco,CA,37.75,-122.43,OZONE,20,"{'Number': 1, 'Name': 'Good'}"
2017-01-14,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,46,"{'Number': 1, 'Name': 'Good'}"
2017-01-15,0,PST,San Francisco,CA,37.75,-122.43,OZONE,18,"{'Number': 1, 'Name': 'Good'}"
2017-01-15,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,62,"{'Number': 2, 'Name': 'Moderate'}"
2017-01-16,0,PST,San Francisco,CA,37.75,-122.43,OZONE,16,"{'Number': 1, 'Name': 'Good'}"
2017-01-16,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,70,"{'Number': 2, 'Name': 'Moderate'}"
2017-01-17,0,PST,San Francisco,CA,37.75,-122.43,OZONE,10,"{'Number': 1, 'Name': 'Good'}"
2017-01-17,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,84,"{'Number': 2, 'Name': 'Moderate'}"
2017-01-18,0,PST,San Francisco,CA,37.75,-122.43,OZONE,41,"{'Number': 1, 'Name': 'Good'}"
2017-01-18,0,PST,San Francisco,CA,37.75,-122.43,PM2.5,61,"{'Number': 2, 'Name': 'Moderate'}"
