date,dt,timezone,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id
2017-11-13,1510572600.0,-28800.0,37.774929,-122.419415,288.15708333333333,,286.04,287.99125,287.38458333333335,288.94166666666666,1021.0,,,87.25,3.4250000000000003,180.375,,0.35,,,,58.666666666666664,777.2916666666666
2017-11-14,1510659000.0,-28800.0,37.774929,-122.419415,287.54,,285.0729166666667,287.27125,286.77458333333334,288.14708333333334,1022.9166666666666,,,86.125,1.98625,202.83333333333334,,0.1725,,,,82.83333333333333,752.8333333333334
2017-11-15,1510745400.0,-28800.0,37.774929,-122.419415,286.55958333333336,,282.66,285.98083333333335,286.0054166666667,287.1020833333333,1017.8333333333334,,,77.54166666666667,2.015,185.20833333333334,,0.40099999999999997,,,,90.91666666666667,677.25
2017-11-16,1510831800.0,-28800.0,37.774929,-122.419415,287.9375,,286.01666666666665,287.7816666666667,287.42625,288.4945833333333,1011.6666666666666,,,88.45833333333333,4.221666666666667,235.66666666666666,,1.9183333333333332,,,,99.20833333333333,500.7916666666667
2017-11-17,1510918200.0,-28800.0,37.774929,-122.419415,286.25875,,282.81374999999997,285.62833333333333,285.5995833333333,286.8229166666667,1017.2083333333334,,,80.41666666666667,3.296666666666667,285.5,,0.23,,,,44.458333333333336,713.3333333333334
2017-11-18,1511004600.0,-28800.0,37.774929,-122.419415,284.45625,,278.66625,283.6870833333333,283.5991666666667,285.33,1022.4583333333334,,,68.70833333333333,2.0875,170.91666666666666,,,,,,15.833333333333334,800.7083333333334
2017-11-19,1511091000.0,-28800.0,37.774929,-122.419415,283.7629166666667,,280.70458333333335,283.33458333333334,282.805,284.72666666666663,1020.75,,,82.5,1.2658333333333334,150.20833333333334,,,,,,79.0,803.3333333333334
2017-11-20,1511177400.0,-28800.0,37.774929,-122.419415,287.38708333333335,,284.81125000000003,287.07666666666665,286.83208333333334,287.89500000000004,1018.25,,,84.625,1.8379166666666666,159.54166666666666,,0.21799999999999997,,,,95.625,740.5833333333334
2017-11-21,1511263800.0,-28800.0,37.774929,-122.419415,287.73083333333335,,285.30041666666665,287.47875,287.24291666666664,288.21125,1019.8333333333334,,,85.58333333333333,3.2283333333333335,63.958333333333336,,,,,,94.375,803.8333333333334
2017-11-22,1511350200.0,-28800.0,37.774929,-122.419415,286.96958333333333,,285.84625,286.84166666666664,286.26375,287.58,1019.7083333333334,,,93.25,2.279166666666667,57.0,,,,,,79.58333333333333,803.4583333333334
2017-11-23,1511436600.0,-28800.0,37.774929,-122.419415,288.6033333333333,,287.75791666666663,288.6816666666667,287.9725,289.25124999999997,1019.6666666666666,,,94.875,1.8054166666666667,261.2916666666667,,,,,,97.41666666666667,804.0
2017-11-24,1511523000.0,-28800.0,37.774929,-122.419415,289.73041666666666,,288.6770833333333,289.89,289.11375,290.37875,1018.5416666666666,,,93.66666666666667,2.1370833333333334,290.0,,,,,,91.04166666666667,803.75
2017-11-25,1511609400.0,-28800.0,37.774929,-122.419415,288.93416666666667,,286.7441666666667,288.8441666666667,288.24291666666664,289.66416666666663,1015.125,,,87.16666666666667,2.783333333333333,152.75,,,,,,89.66666666666667,803.7083333333334
2017-11-26,1511695800.0,-28800.0,37.774929,-122.419415,289.8875,,287.85583333333335,289.91333333333336,289.33958333333334,290.40416666666664,1014.5,,,87.95833333333333,4.543333333333334,168.58333333333334,,0.40375,,,,99.375,702.6666666666666
2017-11-27,1511782200.0,-28800.0,37.774929,-122.419415,286.43083333333334,,283.04,285.71708333333333,285.85541666666666,286.92375,1016.0416666666666,,,80.20833333333333,4.537083333333333,273.8333333333333,,0.9033333333333334,,,,55.833333333333336,688.75
2017-11-28,1511868600.0,-28800.0,37.774929,-122.419415,284.3854166666667,,281.31541666666664,283.8695833333333,283.51875,285.1770833333333,1020.25,,,81.83333333333333,2.4433333333333334,263.5833333333333,,,,,,50.041666666666664,802.2916666666666
2017-11-29,1511955000.0,-28800.0,37.774929,-122.419415,284.95416666666665,,281.86375,284.47375,284.0416666666667,285.75124999999997,1020.4166666666666,,,82.04166666666667,2.2420833333333334,237.66666666666666,,,,,,11.083333333333334,800.4166666666666
2017-11-30,1512041400.0,-28800.0,37.774929,-122.419415,284.43625000000003,,281.69416666666666,283.7995833333333,283.555,285.26916666666665,1020.6666666666666,,,84.20833333333333,1.86,157.08333333333334,,,,,,34.916666666666664,801.4583333333334
2017-12-01,1512127800.0,-28800.0,37.774929,-122.419415,283.5495833333333,,281.61833333333334,282.93916666666667,282.625,284.4058333333333,1019.2916666666666,,,88.45833333333333,1.9525,313.0833333333333,,,,,,67.25,802.8333333333334
2017-12-02,1512214200.0,-28800.0,37.774929,-122.419415,283.30375,,281.66541666666666,282.75416666666666,282.3875,284.25375,1017.375,,,90.08333333333333,1.56625,161.5,,,,,,98.29166666666667,804.0
